dystans_cm,powtorzenie,nr_probki,h_tors
100.0,1,1,103.0
100.0,1,2,108.5
100.0,1,3,110.5
100.0,1,4,111.0
100.0,1,5,113.0
100.0,1,6,111.5
100.0,1,7,112.5
100.0,1,8,112.5
100.0,1,9,113.0
100.0,1,10,112.5
100.0,1,11,109.5
100.0,1,12,111.0
100.0,1,13,112.0
100.0,1,14,113.0
100.0,1,15,113.5
100.0,1,16,114.5
100.0,1,17,114.5
100.0,1,18,116.5
100.0,1,19,116.0
100.0,1,20,116.5
100.0,1,21,115.5
100.0,1,22,115.0
100.0,1,23,114.5
100.0,1,24,115.5
100.0,1,25,115.5
100.0,1,26,115.0
100.0,1,27,116.5
100.0,1,28,115.5
100.0,1,29,116.5
100.0,1,30,116.0
100.0,2,1,113.5
100.0,2,2,114.5
100.0,2,3,114.0
100.0,2,4,116.0
100.0,2,5,117.0
100.0,2,6,118.0
100.0,2,7,116.5
100.0,2,8,114.5
100.0,2,9,115.5
100.0,2,10,116.5
100.0,2,11,114.5
100.0,2,12,114.0
100.0,2,13,114.5
100.0,2,14,113.5
100.0,2,15,114.5
100.0,2,16,113.5
100.0,2,17,113.5
100.0,2,18,114.0
100.0,2,19,114.0
100.0,2,20,114.0
100.0,2,21,114.5
100.0,2,22,114.5
100.0,2,23,115.5
100.0,2,24,115.0
100.0,2,25,115.0
100.0,2,26,114.5
100.0,2,27,115.5
100.0,2,28,117.0
100.0,2,29,116.0
100.0,2,30,116.0
100.0,3,1,114.5
100.0,3,2,111.5
100.0,3,3,114.5
100.0,3,4,114.5
100.0,3,5,116.5
100.0,3,6,114.5
100.0,3,7,114.0
100.0,3,8,112.0
100.0,3,9,111.5
100.0,3,10,111.0
100.0,3,11,108.5
100.0,3,12,109.0
100.0,3,13,112.0
100.0,3,14,112.5
100.0,3,15,113.0
100.0,3,16,111.0
100.0,3,17,111.5
100.0,3,18,111.0
100.0,3,19,112.0
100.0,3,20,111.0
100.0,3,21,112.0
100.0,3,22,113.5
100.0,3,23,112.5
100.0,3,24,115.0
100.0,3,25,115.0
100.0,3,26,115.0
100.0,3,27,116.5
100.0,3,28,117.5
100.0,3,29,117.0
100.0,3,30,116.0
150.0,1,1,78.0
150.0,1,2,74.0
150.0,1,3,76.5
150.0,1,4,77.5
150.0,1,5,77.5
150.0,1,6,75.5
150.0,1,7,76.0
150.0,1,8,79.5
150.0,1,9,76.0
150.0,1,10,74.5
150.0,1,11,74.5
150.0,1,12,74.5
150.0,1,13,75.0
150.0,1,14,77.0
150.0,1,15,77.5
150.0,1,16,78.0
150.0,1,17,79.0
150.0,1,18,78.5
150.0,1,19,78.5
150.0,1,20,78.5
150.0,1,21,77.5
150.0,1,22,79.5
150.0,1,23,76.5
150.0,1,24,76.0
150.0,1,25,78.0
150.0,1,26,76.0
150.0,1,27,76.0
150.0,1,28,76.5
150.0,1,29,77.0
150.0,1,30,77.0
150.0,2,1,72.5
150.0,2,2,73.5
150.0,2,3,72.0
150.0,2,4,72.0
150.0,2,5,73.0
150.0,2,6,73.0
150.0,2,7,73.0
150.0,2,8,73.0
150.0,2,9,75.0
150.0,2,10,76.0
150.0,2,11,75.5
150.0,2,12,76.0
150.0,2,13,75.0
150.0,2,14,74.5
150.0,2,15,76.0
150.0,2,16,76.5
150.0,2,17,76.5
150.0,2,18,77.0
150.0,2,19,76.0
150.0,2,20,75.5
150.0,2,21,76.5
150.0,2,22,75.5
150.0,2,23,73.0
150.0,2,24,74.5
150.0,2,25,74.5
150.0,2,26,74.5
150.0,2,27,75.0
150.0,2,28,75.0
150.0,2,29,74.0
150.0,2,30,75.5
150.0,3,1,73.0
150.0,3,2,74.0
150.0,3,3,76.0
150.0,3,4,77.5
150.0,3,5,73.5
150.0,3,6,73.5
150.0,3,7,74.5
150.0,3,8,75.5
150.0,3,9,77.0
150.0,3,10,76.5
150.0,3,11,78.0
150.0,3,12,77.0
150.0,3,13,78.0
150.0,3,14,77.5
150.0,3,15,78.0
150.0,3,16,77.0
150.0,3,17,78.0
150.0,3,18,75.5
150.0,3,19,77.0
150.0,3,20,76.5
150.0,3,21,78.0
150.0,3,22,75.5
150.0,3,23,77.5
150.0,3,24,78.0
150.0,3,25,77.0
150.0,3,26,77.5
150.0,3,27,77.0
150.0,3,28,77.0
150.0,3,29,75.5
150.0,3,30,75.0
200.0,1,1,47.5
200.0,1,2,49.5
200.0,1,3,53.0
200.0,1,4,52.0
200.0,1,5,53.0
200.0,1,6,52.0
200.0,1,7,53.0
200.0,1,8,53.5
200.0,1,9,53.0
200.0,1,10,53.0
200.0,1,11,52.0
200.0,1,12,53.0
200.0,1,13,52.5
200.0,1,14,53.0
200.0,1,15,53.0
200.0,1,16,55.0
200.0,1,17,55.5
200.0,1,18,53.0
200.0,1,19,51.5
200.0,1,20,51.5
200.0,1,21,52.5
200.0,1,22,54.5
200.0,1,23,53.0
200.0,1,24,52.5
200.0,1,25,54.0
200.0,1,26,53.5
200.0,1,27,52.0
200.0,1,28,53.0
200.0,1,29,52.5
200.0,1,30,53.0
200.0,2,1,55.0
200.0,2,2,51.5
200.0,2,3,52.0
200.0,2,4,52.0
200.0,2,5,51.5
200.0,2,6,52.5
200.0,2,7,52.0
200.0,2,8,52.5
200.0,2,9,53.5
200.0,2,10,55.0
200.0,2,11,55.0
200.0,2,12,54.0
200.0,2,13,53.5
200.0,2,14,54.5
200.0,2,15,54.0
200.0,2,16,54.5
200.0,2,17,54.0
200.0,2,18,54.0
200.0,2,19,54.5
200.0,2,20,54.5
200.0,2,21,54.0
200.0,2,22,54.0
200.0,2,23,53.5
200.0,2,24,54.0
200.0,2,25,54.0
200.0,2,26,54.5
200.0,2,27,54.0
200.0,2,28,55.0
200.0,2,29,54.0
200.0,2,30,54.0
200.0,3,1,51.5
200.0,3,2,51.5
200.0,3,3,51.0
200.0,3,4,54.0
200.0,3,5,52.0
200.0,3,6,51.5
200.0,3,7,51.5
200.0,3,8,52.0
200.0,3,9,51.0
200.0,3,10,53.0
200.0,3,11,51.5
200.0,3,12,52.0
200.0,3,13,52.5
200.0,3,14,52.0
200.0,3,15,53.5
200.0,3,16,53.5
200.0,3,17,54.0
200.0,3,18,54.0
200.0,3,19,53.5
200.0,3,20,52.5
200.0,3,21,52.0
200.0,3,22,52.0
200.0,3,23,53.0
200.0,3,24,53.0
200.0,3,25,53.0
200.0,3,26,54.5
200.0,3,27,53.5
200.0,3,28,53.0
200.0,3,29,53.0
200.0,3,30,54.0
250.0,1,1,40.5
250.0,1,2,42.5
250.0,1,3,41.0
250.0,1,4,43.5
250.0,1,5,41.0
250.0,1,6,42.0
250.0,1,7,41.5
250.0,1,8,41.5
250.0,1,9,42.0
250.0,1,10,41.0
250.0,1,11,41.5
250.0,1,12,42.0
250.0,1,13,42.5
250.0,1,14,41.5
250.0,1,15,42.0
250.0,1,16,42.0
250.0,1,17,41.5
250.0,1,18,41.0
250.0,1,19,41.0
250.0,1,20,41.0
250.0,1,21,41.5
250.0,1,22,41.5
250.0,1,23,42.5
250.0,1,24,43.0
250.0,1,25,43.0
250.0,1,26,43.0
250.0,1,27,42.5
250.0,1,28,41.5
250.0,1,29,42.0
250.0,1,30,42.5
250.0,2,1,41.5
250.0,2,2,42.0
250.0,2,3,41.5
250.0,2,4,42.0
250.0,2,5,42.0
250.0,2,6,42.0
250.0,2,7,42.5
250.0,2,8,42.5
250.0,2,9,41.5
250.0,2,10,41.0
250.0,2,11,41.5
250.0,2,12,41.5
250.0,2,13,42.0
250.0,2,14,42.0
250.0,2,15,42.5
250.0,2,16,42.5
250.0,2,17,42.0
250.0,2,18,42.0
250.0,2,19,42.0
250.0,2,20,41.5
250.0,2,21,42.5
250.0,2,22,42.5
250.0,2,23,41.0
250.0,2,24,41.5
250.0,2,25,41.5
250.0,2,26,41.5
250.0,2,27,41.0
250.0,2,28,41.5
250.0,2,29,41.0
250.0,2,30,41.0
250.0,3,1,41.0
250.0,3,2,42.5
250.0,3,3,41.5
250.0,3,4,41.5
250.0,3,5,41.5
250.0,3,6,41.5
250.0,3,7,42.5
250.0,3,8,41.5
250.0,3,9,41.5
250.0,3,10,42.0
250.0,3,11,42.0
250.0,3,12,42.0
250.0,3,13,41.5
250.0,3,14,42.0
250.0,3,15,41.5
250.0,3,16,41.0
250.0,3,17,41.0
250.0,3,18,43.0
250.0,3,19,42.5
250.0,3,20,43.5
250.0,3,21,43.0
250.0,3,22,43.5
250.0,3,23,43.5
250.0,3,24,43.5
250.0,3,25,44.5
250.0,3,26,43.0
250.0,3,27,42.5
250.0,3,28,42.0
250.0,3,29,43.0
250.0,3,30,43.5
300.0,1,1,34.0
300.0,1,2,36.0
300.0,1,3,35.5
300.0,1,4,34.5
300.0,1,5,36.0
300.0,1,6,35.5
300.0,1,7,36.0
300.0,1,8,37.0
300.0,1,9,35.0
300.0,1,10,35.0
300.0,1,11,35.5
300.0,1,12,35.5
300.0,1,13,35.0
300.0,1,14,35.0
300.0,1,15,34.5
300.0,1,16,34.5
300.0,1,17,34.0
300.0,1,18,35.0
300.0,1,19,35.0
300.0,1,20,34.5
300.0,1,21,34.5
300.0,1,22,35.0
300.0,1,23,35.0
300.0,1,24,35.0
300.0,1,25,35.0
300.0,1,26,35.0
300.0,1,27,35.0
300.0,1,28,35.5
300.0,1,29,34.5
300.0,1,30,34.0
300.0,2,1,35.5
300.0,2,2,34.5
300.0,2,3,34.5
300.0,2,4,34.5
300.0,2,5,34.0
300.0,2,6,34.0
300.0,2,7,34.5
300.0,2,8,34.0
300.0,2,9,35.5
300.0,2,10,35.0
300.0,2,11,34.0
300.0,2,12,34.5
300.0,2,13,33.5
300.0,2,14,34.0
300.0,2,15,33.5
300.0,2,16,33.5
300.0,2,17,33.0
300.0,2,18,33.5
300.0,2,19,33.0
300.0,2,20,33.5
300.0,2,21,33.5
300.0,2,22,33.5
300.0,2,23,34.5
300.0,2,24,34.5
300.0,2,25,34.0
300.0,2,26,34.5
300.0,2,27,34.0
300.0,2,28,34.5
300.0,2,29,34.5
300.0,2,30,34.5
300.0,3,1,34.5
300.0,3,2,36.0
300.0,3,3,34.5
300.0,3,4,35.5
300.0,3,5,34.5
300.0,3,6,34.0
300.0,3,7,34.0
300.0,3,8,34.5
300.0,3,9,34.5
300.0,3,10,35.5
300.0,3,11,36.0
300.0,3,12,35.0
300.0,3,13,34.5
300.0,3,14,34.0
300.0,3,15,33.5
300.0,3,16,34.5
300.0,3,17,35.0
300.0,3,18,35.5
300.0,3,19,34.5
300.0,3,20,34.0
300.0,3,21,34.5
300.0,3,22,34.0
300.0,3,23,33.0
300.0,3,24,33.0
300.0,3,25,33.5
300.0,3,26,33.5
300.0,3,27,34.5
300.0,3,28,33.5
300.0,3,29,34.0
300.0,3,30,36.0
400.0,1,1,26.5
400.0,1,2,28.5
400.0,1,3,27.5
400.0,1,4,26.5
400.0,1,5,27.0
400.0,1,6,28.5
400.0,1,7,28.0
400.0,1,8,28.5
400.0,1,9,28.0
400.0,1,10,28.5
400.0,1,11,28.0
400.0,1,12,28.0
400.0,1,13,28.0
400.0,1,14,28.5
400.0,1,15,28.0
400.0,1,16,28.0
400.0,1,17,28.0
400.0,1,18,28.5
400.0,1,19,27.5
400.0,1,20,28.0
400.0,1,21,28.0
400.0,1,22,27.5
400.0,1,23,28.0
400.0,1,24,28.0
400.0,1,25,28.0
400.0,1,26,28.5
400.0,1,27,28.0
400.0,1,28,28.0
400.0,1,29,28.0
400.0,1,30,28.0
400.0,2,1,28.5
400.0,2,2,28.5
400.0,2,3,28.5
400.0,2,4,28.0
400.0,2,5,28.0
400.0,2,6,27.5
400.0,2,7,27.5
400.0,2,8,27.5
400.0,2,9,27.5
400.0,2,10,28.0
400.0,2,11,28.0
400.0,2,12,27.5
400.0,2,13,28.0
400.0,2,14,27.5
400.0,2,15,27.0
400.0,2,16,28.0
400.0,2,17,27.5
400.0,2,18,28.0
400.0,2,19,27.5
400.0,2,20,27.5
400.0,2,21,27.5
400.0,2,22,27.5
400.0,2,23,27.5
400.0,2,24,28.0
400.0,2,25,27.0
400.0,2,26,27.0
400.0,2,27,27.0
400.0,2,28,27.0
400.0,2,29,27.0
400.0,2,30,27.5
400.0,3,1,26.5
400.0,3,2,27.0
400.0,3,3,27.5
400.0,3,4,27.5
400.0,3,5,28.5
400.0,3,6,28.0
400.0,3,7,28.5
400.0,3,8,29.5
400.0,3,9,28.0
400.0,3,10,28.5
400.0,3,11,28.0
400.0,3,12,27.5
400.0,3,13,27.0
400.0,3,14,27.0
400.0,3,15,27.0
400.0,3,16,27.0
400.0,3,17,27.0
400.0,3,18,27.0
400.0,3,19,27.0
400.0,3,20,27.0
400.0,3,21,26.5
400.0,3,22,27.5
400.0,3,23,27.0
400.0,3,24,27.0
400.0,3,25,27.5
400.0,3,26,28.0
400.0,3,27,28.5
400.0,3,28,29.0
400.0,3,29,28.5
400.0,3,30,27.5
500.0,1,1,22.5
500.0,1,2,23.0
500.0,1,3,24.5
500.0,1,4,24.5
500.0,1,5,23.5
500.0,1,6,23.5
500.0,1,7,23.5
500.0,1,8,23.0
500.0,1,9,23.0
500.0,1,10,24.0
500.0,1,11,23.0
500.0,1,12,23.0
500.0,1,13,23.0
500.0,1,14,23.5
500.0,1,15,23.0
500.0,1,16,23.0
500.0,1,17,23.5
500.0,1,18,23.0
500.0,1,19,23.0
500.0,1,20,23.0
500.0,1,21,23.0
500.0,1,22,23.0
500.0,1,23,22.5
500.0,1,24,22.5
500.0,1,25,22.5
500.0,1,26,23.0
500.0,1,27,23.0
500.0,1,28,23.0
500.0,1,29,23.0
500.0,1,30,23.0
500.0,2,1,22.5
500.0,2,2,21.5
500.0,2,3,22.0
500.0,2,4,22.5
500.0,2,5,22.5
500.0,2,6,22.5
500.0,2,7,22.0
500.0,2,8,22.0
500.0,2,9,22.5
500.0,2,10,23.0
500.0,2,11,22.5
500.0,2,12,22.5
500.0,2,13,23.0
500.0,2,14,23.0
500.0,2,15,22.0
500.0,2,16,23.0
500.0,2,17,22.5
500.0,2,18,22.0
500.0,2,19,22.0
500.0,2,20,23.5
500.0,2,21,23.0
500.0,2,22,22.0
500.0,2,23,22.5
500.0,2,24,23.0
500.0,2,25,22.0
500.0,2,26,22.0
500.0,2,27,22.0
500.0,2,28,22.5
500.0,2,29,23.0
500.0,2,30,23.0
500.0,3,1,23.5
500.0,3,2,23.5
500.0,3,3,22.5
500.0,3,4,23.5
500.0,3,5,22.5
500.0,3,6,23.0
500.0,3,7,23.5
500.0,3,8,23.5
500.0,3,9,22.5
500.0,3,10,22.5
500.0,3,11,22.5
500.0,3,12,22.5
500.0,3,13,22.0
500.0,3,14,22.0
500.0,3,15,22.5
500.0,3,16,22.5
500.0,3,17,22.5
500.0,3,18,22.5
500.0,3,19,23.0
500.0,3,20,22.5
500.0,3,21,22.5
500.0,3,22,23.0
500.0,3,23,23.0
500.0,3,24,23.0
500.0,3,25,23.0
500.0,3,26,22.5
500.0,3,27,23.0
500.0,3,28,22.0
500.0,3,29,22.5
500.0,3,30,22.5
600.0,1,1,19.0
600.0,1,2,19.0
600.0,1,3,19.5
600.0,1,4,18.5
600.0,1,5,19.0
600.0,1,6,19.5
600.0,1,7,20.0
600.0,1,8,20.0
600.0,1,9,19.0
600.0,1,10,20.0
600.0,1,11,20.5
600.0,1,12,19.5
600.0,1,13,19.5
600.0,1,14,19.0
600.0,1,15,19.0
600.0,1,16,19.0
600.0,1,17,18.5
600.0,1,18,19.0
600.0,1,19,19.0
600.0,1,20,20.0
600.0,1,21,19.0
600.0,1,22,19.0
600.0,1,23,19.0
600.0,1,24,19.0
600.0,1,25,19.0
600.0,1,26,18.0
600.0,1,27,18.5
600.0,1,28,19.0
600.0,1,29,19.0
600.0,1,30,19.0
600.0,2,1,19.0
600.0,2,2,18.5
600.0,2,3,18.5
600.0,2,4,18.5
600.0,2,5,19.0
600.0,2,6,18.5
600.0,2,7,19.5
600.0,2,8,19.0
600.0,2,9,19.0
600.0,2,10,18.0
600.0,2,11,19.0
600.0,2,12,19.5
600.0,2,13,18.0
600.0,2,14,19.0
600.0,2,15,19.5
600.0,2,16,19.0
600.0,2,17,19.5
600.0,2,18,19.5
600.0,2,19,19.5
600.0,2,20,19.5
600.0,2,21,19.5
600.0,2,22,19.5
600.0,2,23,18.5
600.0,2,24,20.5
600.0,2,25,20.0
600.0,2,26,20.0
600.0,2,27,19.0
600.0,2,28,19.0
600.0,2,29,19.0
600.0,2,30,19.0
600.0,3,1,20.0
600.0,3,2,20.5
600.0,3,3,19.0
600.0,3,4,19.5
600.0,3,5,19.0
600.0,3,6,19.0
600.0,3,7,18.5
600.0,3,8,19.0
600.0,3,9,19.0
600.0,3,10,18.5
600.0,3,11,17.5
600.0,3,12,18.0
600.0,3,13,18.5
600.0,3,14,18.0
600.0,3,15,18.5
600.0,3,16,19.5
600.0,3,17,19.5
600.0,3,18,19.5
600.0,3,19,19.5
600.0,3,20,18.5
600.0,3,21,19.0
600.0,3,22,18.5
600.0,3,23,19.0
600.0,3,24,18.5
600.0,3,25,19.5
600.0,3,26,19.5
600.0,3,27,20.0
600.0,3,28,20.0
600.0,3,29,18.5
600.0,3,30,19.0
800.0,1,1,16.0
800.0,1,2,16.0
800.0,1,3,15.5
800.0,1,4,16.0
800.0,1,5,16.0
800.0,1,6,16.0
800.0,1,7,15.5
800.0,1,8,16.0
800.0,1,9,15.5
800.0,1,10,15.5
800.0,1,11,15.5
800.0,1,12,15.0
800.0,1,13,16.0
800.0,1,14,15.5
800.0,1,15,15.5
800.0,1,16,16.0
800.0,1,17,16.0
800.0,1,18,15.5
800.0,1,19,15.5
800.0,1,20,16.0
800.0,1,21,16.0
800.0,1,22,16.0
800.0,1,23,16.0
800.0,1,24,15.5
800.0,1,25,16.0
800.0,1,26,16.0
800.0,1,27,16.0
800.0,1,28,16.0
800.0,1,29,15.5
800.0,1,30,16.0
800.0,2,1,15.5
800.0,2,2,15.5
800.0,2,3,16.5
800.0,2,4,15.5
800.0,2,5,14.5
800.0,2,6,15.5
800.0,2,7,15.0
800.0,2,8,16.0
800.0,2,9,16.0
800.0,2,10,16.5
800.0,2,11,16.0
800.0,2,12,16.5
800.0,2,13,16.5
800.0,2,14,15.5
800.0,2,15,15.5
800.0,2,16,15.0
800.0,2,17,15.0
800.0,2,18,15.0
800.0,2,19,15.0
800.0,2,20,14.5
800.0,2,21,14.5
800.0,2,22,15.0
800.0,2,23,15.0
800.0,2,24,15.0
800.0,2,25,15.0
800.0,2,26,15.0
800.0,2,27,15.0
800.0,2,28,15.0
800.0,2,29,16.0
800.0,2,30,15.0
800.0,3,1,14.5
800.0,3,2,15.5
800.0,3,3,15.0
800.0,3,4,15.0
800.0,3,5,15.0
800.0,3,6,15.0
800.0,3,7,15.0
800.0,3,8,15.5
800.0,3,9,15.0
800.0,3,10,14.5
800.0,3,11,15.5
800.0,3,12,15.0
800.0,3,13,15.0
800.0,3,14,15.5
800.0,3,15,15.5
800.0,3,16,15.5
800.0,3,17,15.5
800.0,3,18,15.0
800.0,3,19,15.0
800.0,3,20,15.0
800.0,3,21,15.0
800.0,3,22,15.0
800.0,3,23,15.0
800.0,3,24,15.5
800.0,3,25,15.0
800.0,3,26,14.5
800.0,3,27,15.0
800.0,3,28,15.0
800.0,3,29,15.0
800.0,3,30,14.5
1000.0,1,1,13.5
1000.0,1,2,13.0
1000.0,1,3,14.0
1000.0,1,4,12.5
1000.0,1,5,13.0
1000.0,1,6,13.0
1000.0,1,7,13.0
1000.0,1,8,13.0
1000.0,1,9,13.0
1000.0,1,10,13.0
1000.0,1,11,13.0
1000.0,1,12,13.0
1000.0,1,13,13.0
1000.0,1,14,13.0
1000.0,1,15,13.0
1000.0,1,16,13.0
1000.0,1,17,13.0
1000.0,1,18,13.0
1000.0,1,19,13.0
1000.0,1,20,13.0
