dystans_cm,powtorzenie,nr_probki,h_tors
1000.0,1,21,13.0
1000.0,1,22,13.0
1000.0,1,23,13.0
1000.0,1,24,13.0
1000.0,1,25,13.0
1000.0,1,26,13.0
1000.0,1,27,13.0
1000.0,1,28,13.0
1000.0,1,29,13.0
1000.0,1,30,13.0
1000.0,2,1,12.5
1000.0,2,2,12.0
1000.0,2,3,12.5
1000.0,2,4,13.0
1000.0,2,5,13.0
1000.0,2,6,12.5
1000.0,2,7,12.5
1000.0,2,8,12.5
1000.0,2,9,12.5
1000.0,2,10,12.5
1000.0,2,11,12.5
1000.0,2,12,12.5
1000.0,2,13,12.5
1000.0,2,14,12.5
1000.0,2,15,12.5
1000.0,2,16,12.0
1000.0,2,17,12.0
1000.0,2,18,12.5
1000.0,2,19,12.5
1000.0,2,20,12.5
1000.0,2,21,13.5
1000.0,2,22,12.5
1000.0,2,23,12.5
1000.0,2,24,13.5
1000.0,2,25,13.0
1000.0,2,26,13.0
1000.0,2,27,12.5
1000.0,2,28,13.0
1000.0,2,29,12.5
1000.0,2,30,13.0
1000.0,3,1,13.0
1000.0,3,2,12.5
1000.0,3,3,12.5
1000.0,3,4,12.5
1000.0,3,5,12.0
1000.0,3,6,12.5
1000.0,3,7,12.0
1000.0,3,8,13.0
1000.0,3,9,13.0
1000.0,3,10,13.0
1000.0,3,11,12.5
1000.0,3,12,13.5
1000.0,3,13,13.0
1000.0,3,14,13.0
1000.0,3,15,13.5
1000.0,3,16,13.0
1000.0,3,17,13.5
1000.0,3,18,13.0
1000.0,3,19,13.0
1000.0,3,20,13.0
1000.0,3,21,13.0
1000.0,3,22,13.5
1000.0,3,23,13.0
1000.0,3,24,13.0
1000.0,3,25,13.0
1000.0,3,26,13.0
1000.0,3,27,13.0
1000.0,3,28,12.5
1000.0,3,29,13.0
1000.0,3,30,13.0
