dystans_cm,powtorzenie,nr_probki,h_tors
200.0,2,22,107.5
200.0,2,23,107.5
200.0,2,24,108.0
200.0,2,25,107.0
200.0,2,26,109.0
200.0,2,27,110.5
200.0,2,28,109.5
200.0,2,29,109.0
200.0,2,30,109.5
200.0,3,1,110.5
200.0,3,2,108.0
200.0,3,3,107.5
200.0,3,4,107.0
200.0,3,5,106.5
200.0,3,6,105.5
200.0,3,7,106.0
200.0,3,8,107.5
200.0,3,9,108.0
200.0,3,10,108.5
200.0,3,11,109.5
200.0,3,12,108.5
200.0,3,13,109.0
200.0,3,14,108.5
200.0,3,15,109.5
200.0,3,16,108.0
200.0,3,17,108.5
200.0,3,18,108.0
200.0,3,19,107.0
200.0,3,20,107.0
200.0,3,21,108.5
200.0,3,22,107.0
200.0,3,23,107.5
200.0,3,24,108.5
200.0,3,25,108.5
200.0,3,26,108.5
200.0,3,27,110.5
200.0,3,28,108.0
200.0,3,29,107.5
200.0,3,30,106.0
250.0,1,1,84.0
250.0,1,2,87.5
250.0,1,3,86.0
250.0,1,4,87.0
250.0,1,5,88.5
250.0,1,6,85.0
250.0,1,7,85.0
250.0,1,8,88.0
250.0,1,9,85.5
250.0,1,10,91.0
250.0,1,11,89.5
250.0,1,12,89.0
250.0,1,13,89.0
250.0,1,14,88.0
250.0,1,15,89.5
250.0,1,16,87.5
250.0,1,17,88.0
250.0,1,18,87.0
250.0,1,19,87.0
250.0,1,20,88.0
250.0,1,21,88.0
250.0,1,22,86.5
250.0,1,23,88.0
250.0,1,24,87.0
250.0,1,25,89.5
250.0,1,26,89.0
250.0,1,27,86.0
250.0,1,28,87.5
250.0,1,29,87.0
250.0,1,30,86.5
250.0,2,1,86.0
250.0,2,2,88.0
250.0,2,3,87.0
250.0,2,4,86.0
250.0,2,5,87.0
250.0,2,6,87.0
250.0,2,7,86.0
250.0,2,8,88.5
250.0,2,9,88.5
250.0,2,10,90.0
250.0,2,11,89.5
250.0,2,12,88.5
250.0,2,13,88.0
250.0,2,14,87.5
250.0,2,15,87.5
250.0,2,16,87.5
250.0,2,17,84.0
250.0,2,18,87.5
250.0,2,19,87.0
250.0,2,20,88.0
250.0,2,21,87.5
250.0,2,22,88.5
250.0,2,23,88.0
250.0,2,24,87.0
250.0,2,25,86.0
250.0,2,26,87.0
250.0,2,27,85.5
250.0,2,28,87.0
250.0,2,29,85.5
250.0,2,30,87.5
250.0,3,1,85.5
250.0,3,2,86.0
250.0,3,3,86.5
250.0,3,4,82.5
250.0,3,5,85.5
250.0,3,6,84.0
250.0,3,7,86.0
250.0,3,8,86.0
250.0,3,9,85.5
250.0,3,10,85.0
250.0,3,11,86.5
250.0,3,12,86.0
250.0,3,13,85.5
250.0,3,14,86.5
250.0,3,15,85.5
250.0,3,16,86.5
250.0,3,17,85.5
250.0,3,18,84.5
250.0,3,19,83.5
250.0,3,20,86.0
250.0,3,21,87.0
250.0,3,22,87.5
250.0,3,23,88.5
250.0,3,24,89.5
250.0,3,25,87.5
250.0,3,26,86.5
250.0,3,27,87.0
250.0,3,28,88.0
250.0,3,29,86.5
250.0,3,30,86.5
300.0,1,1,76.5
300.0,1,2,74.5
300.0,1,3,80.0
300.0,1,4,78.5
300.0,1,5,79.0
300.0,1,6,79.5
300.0,1,7,79.5
300.0,1,8,76.0
300.0,1,9,79.5
300.0,1,10,79.5
300.0,1,11,78.5
300.0,1,12,77.0
300.0,1,13,77.0
