dystans_cm,h_tors_srednie,h_tors_odch_std,liczba_probek
100.0,113.35,2.910183270288432,30
100.0,114.98333333333333,1.1724854891307703,30
100.0,113.2,2.2678918257565406,30
150.0,76.86666666666666,1.488474237451074,30
150.0,74.65,1.4209738444695827,30
150.0,76.38333333333334,1.481459490577526,30
200.0,52.666666666666664,1.4452988925785872,30
200.0,53.7,1.0376254944182257,30
200.0,52.63333333333333,0.982626864865578,30
250.0,41.85,0.7320063751999248,30
250.0,41.766666666666666,0.4955356249106169,30
250.0,42.3,0.9092121131323905,30
300.0,35.05,0.6499999999999998,30
300.0,34.13333333333333,0.6182412330330467,30
300.0,34.45,0.8200609733428362,30
400.0,27.933333333333334,0.5120763831912404,30
400.0,27.633333333333333,0.44596960534198826,30
400.0,27.6,0.7461009761866462,30
500.0,23.15,0.48562674281111584,30
500.0,22.466666666666665,0.4642796092394707,30
500.0,22.733333333333334,0.44221663871405337,30
600.0,19.166666666666668,0.5217491947499511,30
600.0,19.116666666666667,0.5580223014261069,30
600.0,19.016666666666666,0.6643710475998247,30
800.0,15.783333333333333,0.2793842435706702,30
800.0,15.383333333333333,0.6011562932290477,30
800.0,15.066666666666666,0.30912061651652334,30
1000.0,13.033333333333333,0.22110831935702657,30
1000.0,12.616666666666667,0.3578485092263981,30
1000.0,12.9,0.37416573867739394,30
