dystans_cm,h_tors_srednie,liczba_probek
100.0,121.31666666666666,30
100.0,120.65,30
100.0,119.98333333333333,30
150.0,86.26666666666667,30
150.0,86.63333333333334,30
150.0,86.13333333333334,30
200.0,67.88333333333334,30
200.0,65.23333333333333,30
200.0,64.98333333333333,30
250.0,50.71666666666667,30
250.0,50.35,30
250.0,49.78333333333333,30
300.0,42.833333333333336,30
300.0,42.516666666666666,30
300.0,42.2,30
