dystans_cm,h_tors_srednie,h_tors_odch_std,liczba_probek
100.0,215.5,3.521363372331802,30
100.0,217.6,2.1962088546705503,30
100.0,212.93333333333334,4.86780808532501,30
150.0,145.28333333333333,2.4721223450486614,30
150.0,138.46666666666667,2.36971634495683,30
150.0,142.71666666666667,2.201072970671855,30
200.0,107.8,1.3203534880225571,30
200.0,107.76666666666667,1.8917951498216945,30
200.0,107.96666666666667,1.1756794725698931,30
250.0,87.5,1.5275252316519468,30
250.0,87.28333333333333,1.22258832900622,30
250.0,86.1,1.3868429375143145,30
300.0,77.31666666666666,1.457642693605749,30
300.0,74.75,1.1161690433502147,30
300.0,74.56666666666666,0.8439325934114775,30
400.0,57.516666666666666,1.1724854891307703,30
400.0,59.06666666666667,1.5954797258365756,30
400.0,58.016666666666666,0.889600409672168,30
500.0,48.483333333333334,1.0526421783092084,30
500.0,47.333333333333336,0.8299933065325824,30
500.0,47.3,0.7593857166596345,30
600.0,40.016666666666666,1.0122856426040143,30
600.0,38.93333333333333,1.0060925515191048,30
600.0,38.75,1.5745369689742652,30
800.0,31.366666666666667,0.8158158833680276,30
800.0,30.6,0.5972157622389638,30
800.0,30.333333333333332,0.43461349368017665,30
1000.0,25.55,0.48904669170404036,30
1000.0,25.566666666666666,0.5120763831912405,30
1000.0,25.583333333333332,0.6335525936249407,30
